Id Place,RC number,Store,Article,Version,Description,Aisle,Rack,Level,Stack,Quantity,Quantity Not Available,Quantity Available,Batch/Series,Expiry,Value(EUR),
2143067,234019,NBO,SINSIVCST16W1,NBO,"SAFETY IV CATHETER, tip,16G x 45 mm, wings, IP, grey",L,C,05,,2850,0,2850,POLM3037425B,30-01-2030,748.61805,
2176495,244715,NBO,SINSIVCST20W1,NBO,"SAFETY IV CATHETER, tip, 20G x 32 mm, wings, IP, pink",L,C,07,,2000,0,2000,POLM3061526B,31-01-2031,481.422,
2176936,244715,NBO,SINSIVCST20W1,NBO,"SAFETY IV CATHETER, tip, 20G x 32 mm, wings, IP, pink",L,C,07,,250,0,250,POLM3061526B,31-01-2031,60.17775,
2180119,241943,NBO,SDRETAPA1P5,NBO,"ADHESIVE TAPE, fabric, perforated, 10cm x 5m",L,C,08,,276,0,276,SYLA2604SY-1,31-10-2030,519.799908,
2182298,241943,NBO,SDRETAPA1P5,NBO,"ADHESIVE TAPE, fabric, perforated, 10cm x 5m",L,C,08,,7,0,7,SYLA2604SY-1,31-10-2030,13.183331,
2157956,241943,NBO,SDRECOMP4A4,NBO,"COMPRESS, abdominal, 45x45 cm, 4 layers, 17 threads, sterile",L,C,09,,285,0,285,SYLA2643ZB-1,31-10-2030,61.6455,
2180121,241238,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",L,C,12,,2300,0,2300,JMMT20250920,19-09-2030,54.97,
2167660,,NBO,SSDTMALP25T3,NBO,"MALARIA HRP-2/pan pLDH TEST,wb,1t.(STAND.Q P.f/Pan 09MAL30D)",L,C,15,,3100,0,3100,SDBS5106AV1D11,28-10-2027,833.528,
2180409,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",L,C,16,,1200,0,1200,JMMT20260220,19-02-2031,82.0188,
2165339,236799,NBO,SMSUGLEN1L-,NBO,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, L",L,D,02,,400,0,400,MDLNZIM25W23,28-05-2028,7.6,
2180123,241943,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",L,D,04,,36,0,36,SYLA2504MSF,31-10-2030,62.64,
2175160,239874,NBO,SCTDBAGU2VSS,NBO,"URINE BAG 2 l, drain., non-ret. valves, sampling port, ster.",L,D,05,,75,0,75,POLM6307625K,31-08-2030,20.635575,
2179966,239874,NBO,SCTDBAGU2VSS,NBO,"URINE BAG 2 l, drain., non-ret. valves, sampling port, ster.",L,D,05,,180,0,180,POLM6307625K,31-08-2030,49.52538,
2176472,244715,NBO,SINSSETP150,NBO,"SET, INFUSION, paediatric, precision, sterile, s.u.",L,D,06,,75,0,75,POLM2611028B,31-01-2031,38.38245,
2141091,239266,NBO,DINJARTS6V-,NBO,"ARTESUNATE 60mg, powder,vial +NaHCO3 5% 1ml +NaCl 0.9% 5ml",L,D,07,,384,0,384,GUIPLA250818,15-07-2028,498.863616,
2178308,245062,NBO,SDRETAPA1P5,NBO,"ADHESIVE TAPE, fabric, perforated, 10cm x 5m",L,D,08,,46,0,46,SYLA2608SY,31-01-2031,87.462606,
2178687,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",L,D,10,,200,0,200,JMMT20250830,29-08-2030,7.24,
2181612,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",L,D,10,,3000,0,3000,JMMT20250830,29-08-2030,108.6,
2176501,244715,NBO,SINSIVCST22W1,NBO,"SAFETY IV CATHETER, tip, 22G x 25 mm, wings, IP, blue",L,D,11,,1800,0,1800,POLM3061626B,31-01-2031,433.2798,
2167661,,NBO,SSDTMALP25T3,NBO,"MALARIA HRP-2/pan pLDH TEST,wb,1t.(STAND.Q P.f/Pan 09MAL30D)",L,D,12,,3000,0,3000,SDBS5106AV1D11,28-10-2027,806.64,
2178688,236639,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",L,D,15,,500,0,500,JMMT20250428,27-04-2030,26.7,
2162529,237488,NBO,DORAASAQ3T1,NBO,"AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg",L,D,17,,1025,0,1025,IPCLCYZ4925011,30-04-2027,228.100425,
2179965,237488,NBO,DORAASAQ3T1,NBO,"AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg",L,D,17,,1200,0,1200,IPCLCYZ4925011,30-04-2027,267.0444,
2182324,237488,NBO,DORAASAQ3T1,NBO,"AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg",L,D,17,,1200,0,1200,IPCLCYZ4925011,30-04-2027,267.0444,
2153561,241080,NBO,DORAORSA2S-,NBO,"ORAL REHYDRATION SALTS (ORS) low osmol., sachet 20.5g/1l",L,E,01,,2000,0,2000,UNKE5815350A,30-11-2028,135.912,
2176343,241080,NBO,DORAORSA2S-,NBO,"ORAL REHYDRATION SALTS (ORS) low osmol., sachet 20.5g/1l",L,E,01,,1000,0,1000,UNKE5815350A,30-11-2028,67.956,
2176850,241080,NBO,DORAORSA2S-,NBO,"ORAL REHYDRATION SALTS (ORS) low osmol., sachet 20.5g/1l",L,E,01,,800,0,800,UNKE5815350A,30-11-2028,54.3648,
2167665,,NBO,SSDTMALP25T3,NBO,"MALARIA HRP-2/pan pLDH TEST,wb,1t.(STAND.Q P.f/Pan 09MAL30D)",L,E,02,,1575,0,1575,SDBS5106AV2D11,28-10-2027,423.486,
2174148,244070,NBO,SMSUGLEN1S-,NBO,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, S",L,E,03,,11000,0,11000,MDLNZIM26W02,28-12-2030,209,
2164557,243077,NBO,ELINGOWSSL-,NBO,"SURGICAL GOWN, non-woven, high performance, sterile, L",L,E,04,,50,0,50,ZARY062509299E,16-09-2030,48.67965,
2166604,,NBO,ELINDRSS5US,NBO,"DRAPE, non-woven, high perf., sterile, universal set",L,E,06,,32,0,32,ZARY062509297E,16-09-2030,210.002624,
2178365,245062,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",L,E,07,,12,0,12,SYLA2601MSF,31-03-2031,21.080244,
2167666,,NBO,SSDTMALP25T3,NBO,"MALARIA HRP-2/pan pLDH TEST,wb,1t.(STAND.Q P.f/Pan 09MAL30D)",L,E,08,,525,0,525,SDBS5106B71D11,06-11-2027,141.162,
2179969,244748,NBO,SINSNEED21-,NBO,"NEEDLE, s.u., Luer, 21 G (0.8 x 40 mm) green, IM",L,E,10,,17900,0,17900,JMMT20260220,19-02-2031,183.7077,
2178695,245062,NBO,SDRECOMN7N-,NBO,"COMPRESS, NON WOVEN, 4 plies, 7.5 cm, non sterile",L,E,11,,4300,0,4300,SYLA2611SA,31-01-2031,16.3486,
2180408,245062,NBO,SDRECOMN7N-,NBO,"COMPRESS, NON WOVEN, 4 plies, 7.5 cm, non sterile",L,E,11,,20000,0,20000,SYLA2611SA,31-01-2031,76.04,
2164523,243108,NBO,SMSUBAGP16-,NBO,"BAG, plastic, for health card, 16x22 cm, re-sealable zipper",L,E,12,,13000,0,13000,,,162.5,
2176344,243108,NBO,SDDCBAGP06P1,NBO,"BAG for drugs, plastic, zipper, 6 x 8 cm, + pictogram 2020",L,E,13,,2500,0,2500,,,6.5,
2179967,243108,NBO,SDDCBAGP06P1,NBO,"BAG for drugs, plastic, zipper, 6 x 8 cm, + pictogram 2020",L,E,13,,20000,0,20000,,,52,
2174667,244070,NBO,SMSUGLEN1M-,NBO,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, M",L,E,14,,9800,0,9800,MDLNZIM26W03,28-12-2030,186.2,
2167719,243575,NBO,DEXTCLOT5T-,NBO,"CLOTRIMAZOLE, 500mg, vaginal tab./pessary + applicator",L,E,16,,650,0,650,UNKE5815668A,30-01-2029,236.75795,
2163996,239874,NBO,SINSIVCST18W1,NBO,"SAFETY IV CATHETER, tip,18G x 45 mm, wings, IP, green",L,F,01,,950,0,950,POLM3330325K,31-08-2030,206.98505,
2178684,239874,NBO,SINSIVCST18W1,NBO,"SAFETY IV CATHETER, tip,18G x 45 mm, wings, IP, green",L,F,01,,2000,0,2000,POLM3330325K,31-08-2030,435.758,
2174665,236798,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",L,F,02,,4750,0,4750,XUZE2536ZC-1,31-05-2030,132.05,
2178685,244748,NBO,SINSNEED19-,NBO,"NEEDLE, s.u., Luer, 19 G (1.1 x 40 mm) cream, IV",L,F,03,,14700,0,14700,JMMT20260220,19-02-2031,150.8661,
2181420,245062,NBO,SDREBANE104,NBO,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",L,F,04,,1200,0,1200,SYLA2611SA,31-01-2031,144.7752,
2182304,245062,NBO,SDREBANE104,NBO,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",L,F,04,,20,0,20,SYLA2611SA,31-01-2031,2.41292,
2174666,,NBO,SINSSYAI005,NBO,"SYRINGE, AUTO-DISABLE with needle, s.u., imm, 0.5 ml",L,F,06,,5200,0,5200,ADMD812506,30-12-2029,165.1,
2179060,235840,NBO,SINSSETI2--,NBO,"INFUSION SET 'Y', Luer-lock, air inlet, sterile, s.u.",L,F,07,,675,0,675,POLM6136925D,31-03-2030,89.362575,
2173945,239874,NBO,SINSIVCST24W2,NBO,"SAFETY IV CATHETER, tip, 24G x 19 mm, wings, no IP, yellow",L,F,08,,3000,0,3000,POLM3330725K,31-08-2030,730.536,
2154153,241292,NBO,CSHEPLASWR4,NBO,"PLASTIC SHEETING, 4x60m, white/white, 6 bands, roll",MS,01,,,27,0,27,,,3136.21767,
2178828,245249,NBO,CSHEPLASWR4,NBO,"PLASTIC SHEETING, 4x60m, white/white, 6 bands, roll",MS,01,,,20,0,20,,,2330.57578,
2117314,222165,NBO,CSHETENM45P,NBO,"(multipurpose tent 45m?) PARTITIONS mobile, PVC, 5 parts",MS,04,,,15,0,15,,,3084.46014,
2117318,227736,NBO,CSHETENM45G,NBO,"(multipurpose tent 45m?) GROUNDSHEET, PVC",MS,05,,,2,0,2,,,761.047954,
2117319,227736,NBO,CSHETENM45G,NBO,"(multipurpose tent 45m?) GROUNDSHEET, PVC",MS,05,,,23,0,23,,,8752.051471,
2176880,245016,NBO,CWATBEDNDPP32,NBO,"MOSQUITO NET deltamethrin, PBO (Permanet 3.0) 2 persons",MS,06,,,19300,0,19300,101926,28-02-2028,51590.5019,
2117307,227736,NBO,CSHETENM45N,NBO,(multipurpose tent 45m?) SHADE NET + frame,MS,07,,,4,0,4,,,1117.397468,
2117308,227736,NBO,CSHETENM45N,NBO,(multipurpose tent 45m?) SHADE NET + frame,MS,07,,,10,0,10,,,2793.49367,
2117343,233095,NBO,CSHENETS804,NBO,"SHADE NET, 80%, 4x50m, roll",MS,09,,,54,0,54,PO246F0142,,6879.19932,
2154100,241194,NBO,CWATBEDNACG22,NBO,MOSQUITO NET alphacyp+chlorfen. (Interceptor G2) 2 persons,MS,10,,,31450,0,31450,T25254G22,31-10-2028,81870.0739,
2149463,240468,NBO,CSHEPLASWS4,NBO,"PLASTIC SHEETING, 4x6m, white/white, 6 bands, sheet",MS,13,,,65,0,65,,,754.95758,
2151164,240718,NBO,CSHEPLASWS4,NBO,"PLASTIC SHEETING, 4x6m, white/white, 6 bands, sheet",MS,13,,,150,0,150,,,1726.83,
2179330,245484,NBO,NFOSRUTFPEP92,NBO,"READY-TO-USE THERAPEUTIC FOOD, peanut paste, 92g",SP,01,,,40950,0,40950,INPK368,30-04-2028,10512.72495,
2175966,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,04,,,172800,0,172800,JMMT20260220,19-02-2031,4369.5936,
2175969,244748,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,05,,,144000,0,144000,JMMT20260220,19-02-2031,6627.6,
2174232,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,06,,,144000,0,144000,JMMT20250830,29-08-2030,5212.8,
2175970,244748,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,07,,,144000,0,144000,JMMT20260220,19-02-2031,6627.6,
2174233,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,08,,,144000,0,144000,JMMT20250830,29-08-2030,5212.8,
2157563,241943,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,09,,,480000,0,480000,SYLA2643ZB-1,31-10-2030,13344,
2155199,241238,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,11,,,86400,0,86400,JMMT20250920,19-09-2030,2064.96,
2175960,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,12,,,28800,0,28800,JMMT20260220,19-02-2031,728.2656,
2175961,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,12,,,28800,0,28800,JMMT20260220,19-02-2031,728.2656,
2175963,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,12,,,28800,0,28800,JMMT20260220,19-02-2031,728.2656,
2175964,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,12,,,28800,0,28800,JMMT20260220,19-02-2031,728.2656,
2157564,241943,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,13,,,160000,0,160000,SYLA2643ZB-1,31-10-2030,4448,
2173943,241943,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,13,,,80000,0,80000,SYLA2643ZB-1,31-10-2030,2224,
2175971,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,14,,,9600,0,9600,JMMT20260220,19-02-2031,656.1504,
2175973,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,14,,,9600,0,9600,JMMT20260220,19-02-2031,656.1504,
2175974,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,14,,,8400,0,8400,JMMT20260220,19-02-2031,574.1316,
2175975,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,14,,,9600,0,9600,JMMT20260220,19-02-2031,656.1504,
2181396,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,14,,,1200,0,1200,JMMT20260220,19-02-2031,82.0188,
2180028,236798,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,15,01,A,40000,0,40000,XUZE2536ZC-1,31-05-2030,1112,
2180244,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,15,01,B,9000,0,9000,JMMT20250830,29-08-2030,325.8,
2180031,236798,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,15,01,D,56000,0,56000,XUZE2536ZC-1,31-05-2030,1556.8,
2180032,236798,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,15,01,D,24000,0,24000,XUZE2536ZC-1,31-05-2030,667.2,
2180401,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,15,01,E,9600,0,9600,JMMT20260220,19-02-2031,656.1504,
2180195,241238,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",UM,17,01,A,26400,0,26400,JMMT20250920,19-09-2030,630.96,
2182326,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,17,01,B,24000,0,24000,JMMT20250830,29-08-2030,868.8,
2180038,244748,NBO,SINSSYDL20-,NBO,"SYRINGE, s.u., Luer, 20 ml",UM,17,01,C,3000,0,3000,JMMT20260220,19-02-2031,205.047,
2126840,236798,NBO,SDRECOMP1S-,NBO,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",UM,17,01,D,52000,0,52000,XUZE2536ZC-1,31-05-2030,1445.6,
2182325,,NBO,SINSSYDL10-,NBO,"SYRINGE, s.u., Luer, 10 ml",UM,17,01,E,24000,0,24000,JMMT20250830,29-08-2030,868.8,
,,,,,,,,,,,,,,,,
